"YEAR";"TABLE";"LINK";"PATH";"DATE"
"2019";"CNES";"ftp://ftp.datasus.gov.br/cnes/BASE_DE_DADOS_CNES_201906.ZIP";"outputs/2019/CNES/2019_06.csv";2019-07-29 13:03:41
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_AC.zip";"outputs/2019/ANS/original/ben201901_AC.csv";2019-07-29 13:04:45
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_AL.zip";"outputs/2019/ANS/original/ben201901_AL.csv";2019-07-29 13:04:47
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_AM.zip";"outputs/2019/ANS/original/ben201901_AM.csv";2019-07-29 13:04:48
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_AP.zip";"outputs/2019/ANS/original/ben201901_AP.csv";2019-07-29 13:04:48
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_BA.zip";"outputs/2019/ANS/original/ben201901_BA.csv";2019-07-29 13:04:55
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_CE.zip";"outputs/2019/ANS/original/ben201901_CE.csv";2019-07-29 13:04:58
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_DF.zip";"outputs/2019/ANS/original/ben201901_DF.csv";2019-07-29 13:05:00
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_ES.zip";"outputs/2019/ANS/original/ben201901_ES.csv";2019-07-29 13:05:04
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_GO.zip";"outputs/2019/ANS/original/ben201901_GO.csv";2019-07-29 13:05:08
